"file","MP","Ftrgt","Btrigger","period","risk","SSB","Fbar","Catch","Fbar.1","SSB_rel","Catch_rel","Fbar_rel","ICV"
"mp_0.05_7000.rds","ICES_SAM",0.05,7000,"all",0.126857142857143,10484.9479098629,0.0457452423605155,567.999999995381,0.0457452423605155,2.04899242110425,0.475413997192352,0.191907374268935,0.1025043372228
"mp_0.1_0.rds","ICES_SAM",0.1,0,"long-term",0.000285714285714286,9465.34304970574,0.0974498658605729,1003.99999260684,0.0974498658605729,1.81507634465088,0.827971743037929,0.41681114312176,0.0768165293858478
"mp_0.1_0.rds","ICES_SAM",0.1,0,"short-term",0.126857142857143,7117.30319232632,0.0915793620217423,695.99999963874,0.0915793620217423,1.40187376115066,0.578211997322258,0.393582768170305,0.121380600048739
"mp_0.1_0.rds","ICES_SAM",0.1,0,"all",0.126857142857143,8241.83944801645,0.0944860122784948,847.999999929051,0.0944860122784948,1.60522396547265,0.705483071639597,0.405075875073789,0.0942883046190323
"mp_0.1_1000.rds","ICES_SAM",0.1,1000,"long-term",0.000285714285714286,9465.40939825112,0.097457969158446,1003.4999859075,0.097457969158446,1.81515962562364,0.827971744530399,0.416740761663085,0.0767789408012979
"mp_0.1_1000.rds","ICES_SAM",0.1,1000,"short-term",0.126857142857143,7115.98579042492,0.0916028669978641,695.999999999911,0.0916028669978641,1.40171514242807,0.578158014571404,0.39348619734491,0.121372166542045
"mp_0.1_1000.rds","ICES_SAM",0.1,1000,"all",0.126857142857143,8241.21372777241,0.0944946835323172,847.999999791572,0.0944946835323172,1.60543335014226,0.705454504168668,0.405190764392347,0.0944700458428559
"mp_0.1_2000.rds","ICES_SAM",0.1,2000,"long-term",0.000285714285714286,9465.90704062802,0.0974479184352353,1002.99999999428,0.0974479184352353,1.81505089352472,0.827956146394939,0.417059778535735,0.0767195766512379
"mp_0.1_2000.rds","ICES_SAM",0.1,2000,"short-term",0.126857142857143,7116.69374798209,0.0916060298933123,695.999999987234,0.0916060298933123,1.40183748858705,0.577659721083102,0.393659206486716,0.121452276372016
"mp_0.1_2000.rds","ICES_SAM",0.1,2000,"all",0.126857142857143,8241.9632596861,0.0944894916805658,847.999999994287,0.0944894916805658,1.60522191427904,0.705798682122663,0.405033346276695,0.094541254835292
"mp_0.1_3000.rds","ICES_SAM",0.1,3000,"long-term",0.000285714285714286,9463.85523633966,0.097439915791841,1002.99999999998,0.097439915791841,1.81556661224221,0.827347404550094,0.416914697126921,0.0766625259572815
"mp_0.1_3000.rds","ICES_SAM",0.1,3000,"short-term",0.126857142857143,7116.39329911776,0.0915597204562326,695.999999954621,0.0915597204562326,1.4019420796729,0.57837559726483,0.39345092672208,0.121564157241407
"mp_0.1_3000.rds","ICES_SAM",0.1,3000,"all",0.126857142857143,8242.42665405537,0.094489781693909,847.999999694126,0.094489781693909,1.60511244322435,0.705425938212256,0.404950419074013,0.0944791756926774
